season,round,race_name,circuit_id,circuit,circuit_type,driver_id,driver_name,Driver,Team,constructor_name,grid_position,qualifying_position,qualifying_time_s,driver_prior3_avg_finish,constructor_prior3_avg_finish,driver_circuit_prior_avg,constructor_tier,n_stops,strategy_type,compound_sequence,stint_lengths,stint1_length,stint2_length,stint3_length,stint4_length,stint5_length,avg_pit_stop_duration_s,total_pit_time_s,first_pit_lap,last_pit_lap,track_status_summary,safety_car_periods,safety_car_laps,vsc_laps,weather_actual,wet_laps,avg_track_temp,avg_air_temp,finish_position,points,positions_gained,is_top3,is_top5,is_top10,dnf,status
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,bottas,Bottas,BOT,Mercedes,Mercedes,2.0,2.0,,10.5,10.5,10.5,midfield,1,one_stop,S-M,21-34,21,34,0,0,0,22.07,22.07,23.0,23.0,green=54;yellow=1,0,0,0,dry,0,40.29999999999998,23.329090909090915,1,26.0,1.0,1,1,1,0,Finished
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,hamilton,Hamilton,HAM,Mercedes,Mercedes,1.0,1.0,,10.5,1.0,10.5,front,1,one_stop,S-M,13-42,13,42,0,0,0,21.01,21.01,15.0,15.0,green=54;yellow=1,0,0,0,dry,0,40.259999999999984,23.330909090909095,2,18.0,-1.0,1,1,1,0,Finished
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,max_verstappen,Verstappen,VER,Red Bull,Red Bull,4.0,4.0,,10.5,11.0,10.5,midfield,1,one_stop,S-M,23-32,23,32,0,0,0,20.85,20.85,25.0,25.0,green=54;yellow=1,0,0,0,dry,0,40.27636363636363,23.33454545454546,3,15.0,1.0,1,1,1,0,Finished
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,vettel,Vettel,VET,Ferrari,Ferrari,3.0,3.0,,10.5,5.0,10.5,front,1,one_stop,S-M,12-43,12,43,0,0,0,24.215,24.215,14.0,14.0,green=54;yellow=1,0,0,0,dry,0,40.23454545454545,23.33818181818182,4,12.0,-1.0,0,1,1,0,Finished
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,leclerc,Leclerc,LEC,Ferrari,Ferrari,5.0,5.0,,10.5,10.5,10.5,midfield,1,one_stop,S-H,25-29,25,29,0,0,0,21.765,21.765,28.0,28.0,green=53;yellow=1,0,0,0,dry,0,40.227777777777774,23.338888888888892,5,10.0,0.0,0,1,1,0,Finished
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,kevin_magnussen,Magnussen,MAG,Haas,Haas,7.0,7.0,,10.5,18.0,10.5,backmarker,1,one_stop,S-M,12-43,12,43,0,0,0,22.482,22.482,14.0,14.0,green=54;yellow=1,0,0,0,dry,0,40.20909090909091,23.33636363636364,6,8.0,1.0,0,0,1,0,Finished
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,hulkenberg,Hülkenberg,HUL,Alpine,Alpine,11.0,11.0,,10.5,10.5,10.5,midfield,1,one_stop,S-H,11-43,11,43,0,0,0,21.715,21.715,13.0,13.0,green=53;yellow=1,0,0,0,dry,0,40.27222222222222,23.329629629629633,7,6.0,4.0,0,0,1,0,+1 Lap
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,raikkonen,Räikkönen,RAI,Kick Sauber,Kick Sauber,9.0,9.0,,10.5,15.0,10.5,backmarker,1,one_stop,S-M,10-44,10,44,0,0,0,23.029,23.029,12.0,12.0,green=53;yellow=1,0,0,0,dry,0,40.27037037037036,23.325925925925933,8,4.0,1.0,0,0,1,0,+1 Lap
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,stroll,Stroll,STR,Aston Martin,Aston Martin,16.0,16.0,,10.5,13.0,10.5,midfield,1,one_stop,M-H,25-29,25,29,0,0,0,22.339,22.339,27.0,27.0,green=53;yellow=1,0,0,0,dry,0,40.307407407407396,23.33518518518519,9,2.0,7.0,0,0,1,0,+1 Lap
2019,1,Australian Grand Prix,albert_park,Australian Grand Prix,semi-street,kvyat,Kvyat,KVY,RB,RB,15.0,15.0,,10.5,14.0,10.5,backmarker,1,one_stop,M-H,24-30,24,30,0,0,0,21.965,21.965,26.0,26.0,green=53;yellow=1,0,0,0,dry,0,40.29444444444444,23.331481481481482,10,1.0,5.0,0,0,1,0,+1 Lap
